place_id,name,place_kind,subtype,accessibility_rating,condition_rating,lat,lon,source_file
furniture-1313922,Seat - Metal Seat,street_furniture,Seat,,3.12,-37.81665581557397,144.95569145037695,street_furniture_clean.csv
furniture-1078946,Seat - Metal Semi-circular Seats,street_furniture,Seat,,3.17,-37.7994167056756,144.96704102272383,street_furniture_clean.csv
furniture-1078953,Seat - Metal Semi-circular Seats,street_furniture,Seat,,3.17,-37.8001485193792,144.96714872713375,street_furniture_clean.csv
furniture-1078957,Seat - Metal Semi-circular Seats,street_furniture,Seat,,3.09,-37.81675990595261,144.960441312164,street_furniture_clean.csv
furniture-1079064,Seat - Metal Bench,street_furniture,Seat,,3.09,-37.81618755074605,144.95707174306153,street_furniture_clean.csv
furniture-1079116,Seat - Metal Bench,street_furniture,Seat,,1.0,-37.80688695907296,144.9594203017174,street_furniture_clean.csv
furniture-1079120,Seat - Metal Bench,street_furniture,Seat,,3.16,-37.80722994863356,144.95916040717393,street_furniture_clean.csv
furniture-1079134,Seat - Metal Bench,street_furniture,Seat,,3.1,-37.81276493345271,144.96857543325513,street_furniture_clean.csv
furniture-1079156,Seat - Metal Bench,street_furniture,Seat,,3.14,-37.8059879276,144.96438132503437,street_furniture_clean.csv
furniture-1079166,Seat - Stainless Steel Straight Seat,street_furniture,Seat,,1.4,-37.81065894555521,144.969770413196,street_furniture_clean.csv
furniture-1079169,Seat - Stainless Steel Straight Seat,street_furniture,Seat,,3.4,-37.810724471068696,144.9700950743191,street_furniture_clean.csv
furniture-1079194,Seat - Metal Seat,street_furniture,Seat,,3.06,-37.79575773496981,144.93329431415103,street_furniture_clean.csv
furniture-1079196,Seat - Metal Seat,street_furniture,Seat,,2.85,-37.79300454163136,144.926520894602,street_furniture_clean.csv
furniture-1079200,Seat - Metal Seat,street_furniture,Seat,,2.87,-37.79155082984366,144.92187687878686,street_furniture_clean.csv
furniture-1079207,Seat - Metal Seat,street_furniture,Seat,,3.1,-37.8163759213044,144.96148244166537,street_furniture_clean.csv
furniture-1079221,Seat - Metal Seat,street_furniture,Seat,,1.12,-37.80906995467724,144.96065236634928,street_furniture_clean.csv
furniture-1079222,Seat - Metal Seat,street_furniture,Seat,,3.16,-37.8072759441658,144.95952647132222,street_furniture_clean.csv
furniture-1079241,Seat - Metal Seat,street_furniture,Seat,,2.63,-37.824117026745824,144.96572442613666,street_furniture_clean.csv
furniture-1529743,Seat - Metal Bench,street_furniture,Seat,,4.16,-37.81594466423744,144.9666395834714,street_furniture_clean.csv
furniture-1079247,Seat - Metal Seat,street_furniture,Seat,,3.08,-37.80586806586392,144.96618557114218,street_furniture_clean.csv
furniture-1079249,Seat - Metal Bench,street_furniture,Seat,,3.1,-37.79718790618867,144.96881644763462,street_furniture_clean.csv
furniture-1079356,Seat - Metal Seat,street_furniture,Seat,,3.04,-37.83383408997438,144.97955383863936,street_furniture_clean.csv
furniture-1079366,Seat - Metal Seat,street_furniture,Seat,,2.86,-37.8386559498016,144.98634589802643,street_furniture_clean.csv
furniture-1079376,Seat - Metal Seat,street_furniture,Seat,,1.21,-37.807124144444266,144.96360546747337,street_furniture_clean.csv
